@id,street_name,highway,suburb,city
16860250,Randwick Road,secondary,woburn,lower hutt
16860253,Randwick Road,secondary,woburn,lower hutt
16864185,Whites Line West,residential,woburn,lower hutt
24399750,Ludlam Crescent,secondary,woburn,lower hutt
24399751,Wai-iti Crescent,residential,woburn,lower hutt
24399752,Saint Albans Grove,residential,woburn,lower hutt
29017656,Pohutukawa Street,residential,woburn,lower hutt
29043063,Myrtle Street,residential,woburn,lower hutt
29043071,Hautana Street,residential,woburn,lower hutt
29043076,Bellevue Road,tertiary,woburn,lower hutt
29047206,Penrose Street,residential,woburn,lower hutt
29047214,Sherwood Street,residential,woburn,lower hutt
29047329,Hinau Street,residential,woburn,lower hutt
29047352,Willoughby Street,residential,woburn,lower hutt
29047353,Cudby Street,residential,woburn,lower hutt
29047357,Riddiford Street,residential,woburn,lower hutt
29047364,Kauri Street,residential,woburn,lower hutt
29047393,Totara Crescent,residential,woburn,lower hutt
29047398,Totara Crescent,residential,woburn,lower hutt
29047407,Rangiora Street,residential,woburn,lower hutt
29105454,Saulbrey Grove,residential,woburn,lower hutt
29105471,Richmond Grove,residential,woburn,lower hutt
29105472,Fuller Grove,residential,woburn,lower hutt
29972841,Huia Street,residential,woburn,lower hutt
30010468,Massey Avenue,residential,woburn,lower hutt
30010476,Matai Street,residential,woburn,lower hutt
30010506,Miro Street,residential,woburn,lower hutt
30063321,Nikau Grove,residential,woburn,lower hutt
30064605,Hautana Square,residential,woburn,lower hutt
30086520,Woburn Road,secondary,woburn,lower hutt
30086556,Laings Road,tertiary,woburn,lower hutt
38436746,Hutt River Trail,cycleway,woburn,lower hutt
145848705,Ludlam Crescent,secondary,woburn,lower hutt
145848713,Whites Line East,secondary,woburn,lower hutt
145848714,Ludlam Crescent,secondary,woburn,lower hutt
145848717,Whites Line East,secondary,woburn,lower hutt
145848725,Whites Line East,secondary,woburn,lower hutt
145848726,Trevethick Grove,residential,woburn,lower hutt
145848729,Randwick Road,secondary,woburn,lower hutt
145848733,Randwick Road,secondary,woburn,lower hutt
145848735,Whites Line East,secondary,woburn,lower hutt
149982524,Glen Iris Grove,residential,woburn,lower hutt
149982638,Ngaio Crescent,residential,woburn,lower hutt
162538206,Manuka Avenue,tertiary,woburn,lower hutt
162538540,Puriri Street,residential,woburn,lower hutt
166906180,Puriri Street,tertiary,woburn,lower hutt
166906183,Pohutukawa Street,tertiary,woburn,lower hutt
201846763,Wilford Street,residential,woburn,lower hutt
214486961,Hutt River Trail,cycleway,woburn,lower hutt
214486962,Hutt River Trail,cycleway,woburn,lower hutt
214529608,Hutt River Trail,cycleway,woburn,lower hutt
244099564,Hutt River Trail,cycleway,woburn,lower hutt
244099565,Hutt River Trail,cycleway,woburn,lower hutt
380339337,Penrose Street,residential,woburn,lower hutt
647967094,Pohutukawa Street,tertiary,woburn,lower hutt
647967095,Puriri Street,tertiary,woburn,lower hutt
647967096,Pohutukawa Street,residential,woburn,lower hutt
647967097,Pohutukawa Street,tertiary,woburn,lower hutt
647967098,Pohutukawa Street,residential,woburn,lower hutt
647967099,Puriri Street,tertiary,woburn,lower hutt
649417679,Ludlam Crescent,secondary_link,woburn,lower hutt
649417686,Ludlam Crescent,secondary_link,woburn,lower hutt
649417692,Ludlam Crescent,secondary_link,woburn,lower hutt
649417695,Penrose Street,residential,woburn,lower hutt
650310208,Hutt River Trail,cycleway,woburn,lower hutt
650322631,Hutt River Trail,cycleway,woburn,lower hutt
814147298,Puriri Street,tertiary,woburn,lower hutt
814870978,Tawa Street,residential,woburn,lower hutt
818681875,Maire Street,residential,woburn,lower hutt
